questions,model_answer,student_answer,teacher_marks,total_marks
What is respiration in plants?,Respiration in plants is the process of breaking down food to release energy and carbon dioxide.,Respiration is how plants and animals take in oxygen and great energy.,3,5
Define evaporation.,Evaporation is the process where liquid turns into vapor due to heat.,Evaporation is when water turns into gas and goes into the air.,3,5
Explain condensation.,Condensation is the process where vapor cools to form liquid droplets (clouds or dew).,Condensation is when gas changes into water drops.,2,5
Describe the function of leaves.,Leaves help in photosynthesis and transpiration and release oxygen into the air.,Leaves make food for the plant using sunlight.,2,5
What causes seasons on Earth?,Seasons are caused by the tilt of Earths axis as it orbits the Sun.,"Seasons happen because the Earth is tilted on its side a little bit as it goes around the sun. When our part of the Earth is tilted towards the sun, we get more direct sunlight and its summer. When its tilted away, we get less direct sunlight and its winter!",3,5
Define thermal energy.,Thermal energy is the internal energy in substances due to heat.,Energy is what makes things move and work.,2,5
Explain water conservation.,"Water conservation means using water carefully, fixing leaks, and reducing waste to save water.","Water conservation means saving water! Its important because we dont have an endless supply of fresh water. We can conserve water by taking shorter showers, turning off the faucet while brushing our teeth, and fixing leaky pipes.",3,5
What is a habitat?,A habitat is the natural home of a plant or an animal.,"A habitat is like a home for animals and plants. Its where they live and find everything they need to survive, like food, water, and shelter.",3,5
Describe the food chain.,"A food chain shows how energy is passed from one living thing to another, e.g. sun, gras, rabbit, fox.","A food chain shows how living things get their energy by eating other living things. It starts with plants (producers) that make their own food. Then, animals that eat plants (primary consumers) come next. After that, animals that eat other animals (secondary or tertiary consumers) are higher up the chain. Its like a line of who eats whom!",3,5
Explain how magnets attract.,Magnets attract metals like iron due to magnetic force lines between their poles.,"Magnets attract each other because they have two different ends, called poles: a north pole and a south pole. When you put a north pole near a south pole, they pull towards each other, like they want to give each other a hug! But if you try to put two north poles together, they push away.",3,5
Describe solar energy usage.,"Solar energy can be used for heating, generating electricity, and powering calculators and street lights.",Energy is what makes things move and work.,1,5
What is soil erosion?,"Soil erosion is the removal of soil by wind, water or human activity.","Soil erosion is when the top layer of soil, which is really important for plants, gets carried away by wind or water. Its like the ground is washing or blowing away.",5,5
Explain composting.,Composting is turning organic waste into nutrient-rich soil through natural decay.,"Composting is when you take things like fruit and vegetable scraps, leaves, and grass clippings, and you let them rot down into a rich, dark dirt called compost. This compost is super good for plants because it gives them nutrients!",3,5
Define biodegradation.,Biodegradation is the breakdown of organic materials by microorganisms.,"Biodegradation is when tiny little things called microbes (theyre too small to see!) eat up and break down natural materials, like food scraps or paper, until they disappear. Its like natures way of cleaning up!",3,5
Explain water pollution.,Water pollution is contamination of water bodies by harmful substances.,"Water pollution is when harmful things, like trash, chemicals, or oil, get into our water sources like rivers, lakes, and oceans. This makes the water dirty and unsafe for animals and people.",3,5
Define renewable energy.,"Renewable energy is energy from natural sources that never run out, like wind and sunlight.",Energy is what makes things move and work.,1,5
Explain sound reflection.,Sound reflection is when sound waves bounce off surfaces and echo.,"Sound reflection is when sound waves bounce off something, like a wall or a mountain, and come back to our ears. Thats how we hear echoes!",5,5
Describe the life cycle of a butterfly.,"A butterflys life cycle includes egg, caterpillar (larva), pupa (chrysalis), and adult.","A butterflys life cycle has four main parts! It starts as a tiny egg. Then, the egg hatches into a hungry caterpillar (larva). The caterpillar eats and grows, and then it forms a chrysalis (pupa) where it sleeps and changes. Finally, a beautiful butterfly emerges from the chrysalis!",5,5
What is a renewable resource and examples?,"Renewable resources can be replenished; examples are solar, wind, and water energy.","A renewable resource is something that we can use over and over again, and it wont run out, or it can be easily replaced. Examples are sunlight (solar energy), wind, and water.",5,5
Describe Earths atmosphere layers.,"Earths atmosphere has layers: troposphere, stratosphere, mesosphere, thermosphere, and exosphere.","The Earths atmosphere is like a big blanket of air around our planet, and it has different layers! Troposphere: This is the layer closest to us, where we live and where weather happens. Stratosphere: This layer has the ozone layer, which protects us from the suns harmful rays. Mesosphere: This is where most meteors burn up. Thermosphere: This layer is very hot, and where the Northern and Southern Lights happen. Exosphere: This is the very outer edge of our atmosphere, where it blends into space.",5,5
Explain evaporation and condensation cycle.,"Water evaporates, forms clouds by condensation, then falls back as precipitation.",Evaporation is when water turns into gas and goes into the air.,2,5
Describe the greenhouse effect.,"Greenhouse gases trap heat in the atmosphere, warming Earth.","The greenhouse effect is like how a greenhouse (a special house for plants) stays warm. The Earth has certain gases in the air that trap some of the suns heat, keeping our planet warm enough for us to live. Without it, the Earth would be too cold!",5,5
What is lunar eclipse?,"A lunar eclipse happens when Earth passes between the sun and moon, casting a shadow on the moon.","A lunar eclipse is when the Earths shadow covers the moon, making it look dark.",3,5
Describe water filtration process.,"Water filtration removes impurities through sand, charcoal or membranes.",Water filtration is like cleaning water with special filters to make it clean.,2,5
Explain simple circuit components.,"A simple circuit has a battery, wires, a switch, and a bulb.","A simple circuit has a battery to give power, wires to carry it, a switch to turn it on or off, and a light bulb.",5,5
Describe evaporation in cooling.,Evaporation makes cooling effect when sweat evaporates from our skin.,Evaporation is when water turns into gas and goes into the air.,2,5
What is biodegradation and its benefit?,"Biodegradation decomposes waste naturally, reducing pollution.",Biodegradation is when nature breaks down trash so it doesnt pollute.,2,5
Explain animal adaptation.,"Animals adapt with features like fur, camouflage or migration to survive.","Animal adaptation is when animals change to live better in their homes, like having thick fur in cold places.",3,5
Describe the water table.,The water table is the underground level at which soil is saturated with water.,The water table is like the top of the water that is under the ground.,3,5
What is photosynthesis importance?,"It produces oxygen and food, which are essential for life on Earth.","Photosynthesis is how plants make food using sunlight, water, and air.",2,5
Explain magnetic poles.,"Magnets have two poles: north and south, where magnetic forces are strongest.","Magnets have two ends, a north and a south pole, and thats where they are strongest.",5,5
Describe how water vapor is formed.,Water vapor forms when water evaporates due to heat.,Water vapor is made when water gets warm and turns into a gas that floats in the air.,3,5
Explain importance of water for plants.,"Water helps in photosynthesis, growth, and nutrient transport in plants.","Water helps plants make their food, grow big, and move food around inside them.",3,5
Explain gravity with example.,"Gravity is a force that pulls objects toward the Earth. For example, when you throw a ball up, gravity pulls it back",Gravity pulls things down to the ground.,1,5
List three states of matter.,"The three states of matter are: solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",5,5
Difference between renewable and non-renewable resources.,"Renewable resources can be replaced (e.g., sunlight, wind). Non-renewable resources cann","Renewable resources are like sunshine, they always come back. Non-renewable resources are like oil, and once we use them, they are gone.",3,5
Describe structure of soil layers.,"Soil has layers: topsoil (rich in nutrients), subsoil (less fertile), and bedrock (hard layer beneath).","Soil has different layers, like a top part where plants grow, and harder parts underneath.",3,5
Explain cause of day and night.,Day and night occur due to Earths rotation on its axis. The side facing the sun has day; the other has night.,"Day and night happen because the Earth spins around. When our side faces the sun, its day, and when it faces away, its night.",3,5
Describe function of kidney.,The kidneys filter waste from the blood and remove it through urine.,Our kidneys clean our blood and make us pee out the yucky stuff.,3,5
Explain simple machine lever.,A lever is a bar that pivots on a point to lift loads. Example: seesaw or crowbar.,A lever is a simple tool like a seesaw that helps us lift heavy things.,3,5
Define pollution and its types.,"Pollution is the addition of harmful substances to the environment. Types include air, water, and land pollution.","Pollution is when bad stuff gets into our air, water, or land.",3,5
